country,policy_strands,policy_dimensions,description,deterioration_narrative
BE,ACCESS TO NATIONALITY ,CONDITIONS FOR ACQUISITION,Costs of application and/or issue of nationality title,2013: 2013: 150 euros
BE,ACCESS TO NATIONALITY ,CONDITIONS FOR ACQUISITION,Economic resources requirement ,2013: 2013 Nationality Act introduces employment requirement for 5-year procedure (none for 10-year procedure)
BE,ACCESS TO NATIONALITY ,ELIGIBILITY ,Is possession of a permanent or long-term residence permit required?,2013: Permanent residence is now explicitly required: Law modifying the nationality Code in order to make the access to nationality immigration-neutralDate of adoption & date of entry into force: 14st of January 2013 – 21st of January 2013
BE,FAMILY REUNION FOR FOREIGN CITIZENS,CONDITIONS FOR ACQUISITION OF STATUS,Economic resources requirement,"2011: 8th of July 2011 law: sufficient and stable economic resources in order not to become a charge for the state. These resources must be at least equivalent at 120% of the Minimum Income of Integration (1232 euros). This calculation cannot take into account family benefits, welfare benefits (revenu d'integration sociale), financial social aid, waiting or transition benefits as well as unemployment benefits unless the sponsor is actively looking for work."
BE,FAMILY REUNION FOR FOREIGN CITIZENS,ELIGIBILITY,Permit duration required (sponsor),2011: 2011 law: One year's residence or right to stay for at least one year
BE,FAMILY REUNION FOR FOREIGN CITIZENS,ELIGIBILITY,Residence requirement for ordinary legal residents (sponsor),2011: 2011 law: One year's residence or right to stay for at least one year
BE,FAMILY REUNION FOR FOREIGN CITIZENS,SECURITY OF STATUS,"Grounds for rejecting, withdrawing or refusing to renew status:                      a. Actual and serious threat to public policy or national security, b. Proven fraud in the acquisition of permit (inexistent relationship or misleading information).c. Break-up of family relationship (before three years)d. Original conditions are no longer satisfied (e.g. unemployment or economic resources)",2011: 2011 law introduces all four grounds also reunited family members who become divorced or separated must wait two years before applying for family reunification themselves for a partner abroad.
CH,ACCESS TO NATIONALITY ,ELIGIBILITY ,Is possession of a permanent or long-term residence permit required?,2014: 2014: Revision of the Swiss Citizenship Act : only foreigners in possession of a C permit will be able to obtain Swiss nationality 
CZ,ACCESS TO NATIONALITY ,CONDITIONS FOR ACQUISITION,Criminal record requirementNote: Ground for rejection or application of a qualifying period ,2014: Act No. 186/2013: more stringent conditions for impunity as well as a number of other new conditions. On the other hand a three-year long period prior to the lodging of the application was introduced as regards an absence of a substantial breach of selected laws and norms (see good character requirement). The applicant needs to prove that s/he was not unconditionally prosecuted for a crime committed with negligence or for one committed intentionally (before it was only an intentionally committed crime).
CZ,ACCESS TO NATIONALITY ,CONDITIONS FOR ACQUISITION,Economic resources requirement ,"2014: Act No. 186/2013: For three year period, proof of legal sources of income as well as absence of being largely dependent on welfare benefits was introduced. There is no specific required income; however, the applicant should pay taxes, and not be “predominantly dependent” on social welfare support. The Applicant is not without good reasons, largely dependent on government welfare benefits or assistance in material need. However, this does not relate to applicants who are excluded from gainful activity/employment due to their condition, or as a result of preparing for a future career, or due to maternity or paternity leave, or consistently takes care of another person who is dependent on such care."
CZ,ACCESS TO NATIONALITY ,DUAL NATIONALITY,"Types of exemptions allowed                                                       a. On humanitarian grounds (e.g. for refugees, stateless)b. On accessibility grounds (e.g. cost, distance, impossibility)",2014: 
CZ,FAMILY REUNION FOR FOREIGN CITIZENS,CONDITIONS FOR ACQUISITION OF STATUS,Accommodation requirement,2014: 
CZ,FAMILY REUNION FOR FOREIGN CITIZENS,CONDITIONS FOR ACQUISITION OF STATUS,Costs of application and/or issue of status,2013: 2.500 CZK. 
